ID,Tipo,Data,Responsável,Fornecedor,Quem Recebeu,Quem Cadastrou,Local,Material,Tipo Material,Qtd Pacotes,Unids. por Pacote,Qtd Total,Valor Unit.,Valor Total,Obs,Status,Motivo Exclusão,Data Exclusão
1776332941599,Entrada,2026-04-16 06:48,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO AMARELO,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1776339575389,Entrada,2026-04-16 06:49,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,40,20,800,0,0,,ATIVO,,
1776339614829,Entrada,2026-04-16 08:39,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,25,20,500,0,0,,ATIVO,,
1776339637902,Entrada,2026-04-16 08:40,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,ROSAS PINK,ORNAMENTAÇÃO,12,20,240,0,0,,ATIVO,,
1776339663348,Entrada,2026-04-16 08:40,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,15,20,300,0,0,,ATIVO,,
1776339693901,Entrada,2026-04-16 08:41,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,ROSA AMARELA,ORNAMENTAÇÃO,5,20,100,0,0,,ATIVO,,
1776339752188,Entrada,2026-04-16 08:41,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,96,6,576,0,0,,ATIVO,,
1776339850685,Saída,2026-04-16 08:42,MURILLO,,,,QUARTA PARADA,LÍRIO BRANCO,ORNAMENTAÇÃO,0,0,23,0,0,,ATIVO,,
1776339891783,Saída,2026-04-16 08:44,MURILLO,,,,QUARTA PARADA,LISIANTUS BRANCOS,ORNAMENTAÇÃO,4,36,144,0,0,,ATIVO,,
1776339916884,Saída,2026-04-16 08:44,MURILLO,,,,QUARTA PARADA,LISIANTUS BRANCOS,ORNAMENTAÇÃO,0,0,3,0,0,,ATIVO,,
